-0.98	0.51782
-0.96	0.53528
-0.94	0.55238
-0.92	0.56912
-0.9	0.5855
-0.88	0.60152
-0.86	0.61718
-0.84	0.63248
-0.82	0.64742
-0.8	0.662
-0.78	0.67622
-0.76	0.69008
-0.74	0.70358
-0.72	0.71672
-0.7	0.7295
-0.68	0.74192
-0.66	0.75398
-0.64	0.76568
-0.62	0.77702
-0.6	0.788
-0.58	0.79862
-0.56	0.80888
-0.54	0.81878
-0.52	0.82832
-0.5	0.8375
-0.48	0.84632
-0.46	0.85478
-0.44	0.86288
-0.42	0.87062
-0.4	0.878
-0.38	0.88502
-0.36	0.89168
-0.34	0.89798
-0.32	0.90392
-0.3	0.9095
-0.28	0.91472
-0.26	0.91958
-0.24	0.92408
-0.22	0.92822
-0.2	0.932
-0.18	0.93542
-0.16	0.93848
-0.14	0.94118
-0.12	0.94352
-0.1	0.9455
-0.08	0.94712
-0.06	0.94838
-0.04	0.94928
-0.02	0.94982
6.175615574e-16	0.95
0.02	0.94982
0.04	0.94928
0.06	0.94838
0.08	0.94712
0.1	0.9455
0.12	0.94352
0.14	0.94118
0.16	0.93848
0.18	0.93542
0.2	0.932
0.22	0.92822
0.24	0.92408
0.26	0.91958
0.28	0.91472
0.3	0.9095
0.32	0.90392
0.34	0.89798
0.36	0.89168
0.38	0.88502
0.4	0.878
0.42	0.87062
0.44	0.86288
0.46	0.85478
0.48	0.84632
0.5	0.8375
0.52	0.82832
0.54	0.81878
0.56	0.80888
0.58	0.79862
0.6	0.788
0.62	0.77702
0.64	0.76568
0.66	0.75398
0.68	0.74192
0.7	0.7295
0.72	0.71672
0.74	0.70358
0.76	0.69008
0.78	0.67622
0.8	0.662
0.82	0.64742
0.84	0.63248
0.86	0.61718
0.88	0.60152
0.9	0.5855
0.92	0.56912
0.94	0.55238
0.96	0.53528
0.98	0.51782
1	0.5
